BookingID,UserID,BookingDate,AmountSpent,BookingType,FlightID,HotelID,CarID
B1,1,2020-01-10,500,Flight,F1,,
B2,2,2021-02-15,800,Hotel,,H2,
B3,3,2022-03-10,300,Car,,,C3
B4,4,2021-04-25,1000,Hotel,,H4,
B5,5,2021-06-10,150,Flight,F2,,
B6,6,2020-05-22,700,Flight,F3,,
B7,7,2020-07-01,400,Car,,,C5
B8,8,2021-08-14,1200,Hotel,,H6,
B9,9,2020-10-30,900,Flight,F5,,
B10,10,2022-01-05,200,Car,,,C7
B11,11,2020-11-12,1000,Flight,F8,,
B12,12,2021-09-18,500,Hotel,,H9,
B13,13,2022-04-20,350,Flight,F11,,
B14,14,2020-12-07,600,Car,,,C10
B15,15,2021-01-18,150,Hotel,,H11,
B16,16,2022-02-03,700,Flight,F12,,
B17,17,2021-07-21,500,Hotel,,H13,
B18,18,2022-06-13,1200,Flight,F13,,
B19,19,2021-10-19,650,Car,,,C15
B20,20,2020-09-22,900,Hotel,,H16,
B21,21,2020-08-03,300,Flight,F14,,
B22,22,2022-05-29,550,Hotel,,H17,
B23,23,2021-03-04,400,Flight,F15,,
B24,24,2022-07-30,100,Car,,,C18
B25,25,2021-06-17,450,Hotel,,H19,
B26,26,2020-02-22,800,Flight,F16,,
B27,27,2022-05-06,350,Hotel,,H21,
B28,28,2021-11-11,1200,Flight,F17,,
B29,29,2020-04-09,700,Car,,,C20
B30,30,2022-01-25,1100,Hotel,,H22,
B31,31,2021-07-09,200,Flight,F18,,
B32,32,2021-08-30,150,Hotel,,H23,
B33,33,2022-03-17,300,Car,,,C23
B34,34,2020-12-10,400,Hotel,,H24,
B35,35,2021-04-12,800,Flight,F19,,
B36,36,2022-09-14,500,Car,,,C26
B37,37,2021-02-03,600,Hotel,,H27,
B38,38,2020-03-21,1000,Flight,F20,,
B39,39,2022-04-05,450,Hotel,,H28,
B40,40,2021-05-26,300,Car,,,C30
B41,41,2020-09-08,650,Flight,F21,,
B42,42,2021-03-18,500,Hotel,,H31,
B43,43,2022-02-21,700,Car,,,C32
B44,44,2021-12-15,200,Hotel,,H34,
B45,45,2020-11-01,850,Flight,F22,,
B46,46,2021-10-29,350,Hotel,,H36,
B47,47,2022-06-01,900,Car,,,C37
B48,48,2021-01-22,1000,Hotel,,H40,
B49,49,2020-05-30,150,Flight,F23,,
B50,50,2022-08-14,500,Hotel,,H42,
B51,51,2020-02-28,400,Flight,F24,,
B52,52,2021-12-22,600,Car,,,C43
B53,53,2022-06-17,1200,Flight,F25,,
B54,54,2021-05-04,300,Car,,,C45
B55,55,2020-06-23,200,Hotel,,H46,
B56,56,2021-08-21,450,Flight,F26,,
B57,57,2020-03-28,550,Car,,,C47
B58,58,2022-10-10,1000,Hotel,,H48,
B59,59,2021-02-17,700,Flight,F27,,
B60,60,2022-03-11,1500,Hotel,,H50,
B61,61,2021-07-15,1000,Flight,F28,,
B62,62,2020-04-04,400,Hotel,,H51,
B63,63,2021-12-30,300,Car,,,C52
B64,64,2022-08-24,1200,Flight,F30,,
B65,65,2020-11-20,500,Car,,,C54
B66,66,2021-02-13,800,Hotel,,H55,
B67,67,2022-04-29,600,Flight,F31,,
B68,68,2021-05-17,350,Hotel,,H57,
B69,69,2020-09-19,1000,Car,,,C58
B70,70,2021-10-22,300,Flight,F33,,
B71,71,2022-01-13,400,Hotel,,H60,
B72,72,2021-06-04,700,Car,,,C61
B73,73,2020-07-09,100,Flight,F34,,
B74,74,2021-11-09,1500,Hotel,,H63,
B75,75,2021-03-19,800,Flight,F35,,
B76,76,2020-10-18,600,Car,,,C64
B77,77,2022-06-23,1200,Hotel,,H66,
B78,78,2021-02-06,150,Flight,F36,,
B79,79,2022-03-01,1000,Car,,,C67
B80,80,2021-04-28,700,Hotel,,H68,
B81,81,2020-08-15,1200,Flight,F38,,
B82,82,2022-05-08,400,Car,,,C70
B83,83,2021-07-04,500,Hotel,,H72,
B84,84,2020-11-11,600,Flight,F39,,
B85,85,2021-09-05,300,Hotel,,H75,
B86,86,2022-02-15,1500,Car,,,C77
B87,87,2021-03-10,700,Hotel,,H79,
B88,88,2022-06-19,100,Flight,F40,,
B89,89,2021-07-18,1200,Hotel,,H81,
B90,90,2022-04-12,500,Flight,F42,,
B91,91,2020-12-17,600,Hotel,,H82,
B92,92,2021-08-12,350,Car,,,C84
B93,93,2022-09-26,1000,Hotel,,H86,
B94,94,2020-01-28,700,Car,,,C88
B95,95,2021-05-21,800,Flight,F45,,
B96,96,2020-06-08,300,Hotel,,H89,
B97,97,2022-10-02,150,Car,,,C90
B98,98,2021-09-14,1200,Hotel,,H92,
B99,99,2020-03-13,200,Car,,,C94
B100,100,2022-11-09,400,Hotel,,H96,
